isin,name,pm,settore,score,prezzo,bid,ask,spread_pct,prezzo_limite,data_chiusura
GB00BPJHV584,Ithaca Energy Plc,P,energy,71.6,266.0,0,0,0,0,01/05/2026
DE0006766504,Aurubis,P,european,70.8,183.3,0,0,0,0,30/04/2026
US74164F1030,Primoris Services,P,other,69.4,180.35,0,0,0,0,01/05/2026
JP3166000004,Ebara,P,em_asia,66.2,5242.0,0,0,0,0,01/05/2026
JP3545270005,Tess Holdings,P,em_asia,64.6,808.0,0,0,0,0,01/05/2026
