isin,name,ticker,source
AU000000IVR6,Investitagor,IVR.AX,openfigi
AU000000JPR6,Jupiter Energy,JPR.AX,openfigi
AU000000KGL6,Kgl Resources,KGL.AX,openfigi
AU000000KPO1,Kalina Power,KPO.AX,openfigi
AU000000KSN7,Kingston Resources,KSN.AX,openfigi
AU000000KZR3,Kalamazoo Resources,KZR.AX,openfigi
AU000000LIT3,LIVIUM,LIT.AX,openfigi
AU000000LMG2,Latrobe Magnesium,LMG.AX,openfigi
AU000000LOV7,Lovisa,LOV.AX,openfigi
AU000000LTR4,Liontown Resources,LTR.AX,openfigi
AU000000LYL7,Lycopodium,LYL.AX,openfigi
AU000000MAT8,Matsa Resources,MAT.AX,openfigi
AU000000MCM9,MC Mining,MCM.AX,openfigi
AU000000MLX7,Metals X,MLX.AX,openfigi
AU000000MMI6,Metro Mining,MMI.AX,openfigi
AU000000MRC8,Mineral Commodities,MRC.AX,openfigi
AU000000MTC4,MetalsTech,MTC.AX,openfigi
AU000000MVF3,Monash IVF,MVF.AX,openfigi
AU000000MYR2,Myer Holdings,MYR.AX,openfigi
AU000000MYX0,Mayne Pharma Group,MYX.AX,openfigi
AU000000NAG3,Nagambie Resources,NAG.AX,openfigi
AU000000NCK1,Nick Scali,NCK.AX,openfigi
AU000000NGI6,Navigator Global Invts,NGI.AX,openfigi
AU000000NGY3,NuEnergy Gas,NGY.AX,openfigi
AU000000NHF0,NIB,NHF.AX,openfigi
AU000000NOR1,Norwood Systems,NOR.AX,openfigi
AU000000NTD0,National Tyre & Wheel,NTD.AX,openfigi
AU000000NTU4,Northern Minerals,NTU.AX,openfigi
AU000000NVA2,Nova Minerals,NVA.AX,openfigi
AU000000NVX4,Novonix,NVX.AX,openfigi
AU000000NXT8,Nextdc,NXT.AX,openfigi
AU000000OEC2,Orbital,OEC.AX,openfigi
AU000000OEL3,Otto Energy,OEL.AX,openfigi
AU000000ORA8,Orora,ORA.AX,openfigi
AU000000PAR5,Paradigm Biopharmaceuticals,PAR.AX,openfigi
AU000000PCL4,PANCONTINENTAL ENERGY NL,PCOGF,openfigi
AU000000PDN8,Paladin Energy,PDN.AX,openfigi
AU000000PEX5,Peel Mining,PEX.AX,openfigi
AU000000PGC4,Paragon Care,PGC.AX,openfigi
AU000000PGM3,Platina Resources,PGM.AX,openfigi
AU000000PIC0,Perpetual Equity,PIC.AX,openfigi
AU000000PNR8,Pantoro Gold,PNR.AX,openfigi
AU000000POD6,PODIUM MINERALS,POD.AX,openfigi
AU000000PPT9,Perpetual,PPT.AX,openfigi
AU000000PSC9,Prospect Resources,PSC.AX,openfigi
AU000000PWN8,Parkway,PWN.AX,openfigi
AU000000RCE5,RECCE PHARMACEUTICALS LTD,RCE.AX,openfigi
AU000000RGL1,Riversgold,RGL.AX,openfigi
AU000000RIC6,Ridley,RIC.AX,openfigi
AU000000RNU8,Renascor Resources,RNU.AX,openfigi
AU000000RWC7,Reliance Worldwide,RWC.AX,openfigi
AU000000SDF8,Steadfast,SDF.AX,openfigi
AU000000SGM7,Sims Metal,SGM.AX,openfigi
AU000000SGR6,Star Entertainment,SGR.AX,openfigi
AU000000SHV6,Select Harvest,SHV.AX,openfigi
AU000000SIG5,Sigma Healthcare,SIG.AX,openfigi
AU000000SIQ4,Smartgroup,SIQ.AX,openfigi
AU000000SLC8,Superloop,SLC.AX,openfigi
AU000000SLX4,Silex Systems,SLX.AX,openfigi
AU000000SMR4,Stanmore Resources,SMR.AX,openfigi
AU000000SOM1,SomnoMed,SOMNF,openfigi
AU000000SPZ0,Smart Parking,SPZ.AX,openfigi
AU000000SRN2,Surefire Resources,SRN.AX,openfigi
AU000000SSM2,Service Stream,SSM.AX,openfigi
AU000000STM0,Sunstone Metals,STM.AX,openfigi
AU000000SUH8,Southern Hemisphere Mining,SUH.AX,openfigi
AU000000SUL0,Super Retail Group,SUL.AX,openfigi
AU000000SVL8,Silver Mines,SVL.AX,openfigi
AU000000SXL4,Southern Cross Media,SXL.AX,openfigi
AU000000SYR9,Syrah Resources,SYR.AX,openfigi
AU000000TAR7,Taruga Minerals,TAR.AX,openfigi
AU000000TBR5,Tribune Resources,TBR.AX,openfigi
AU000000TER9,TerraCom,TER.AX,openfigi
AU000000TLM5,Talisman Mining,TLM.AX,openfigi
AU000000TLS2,Telstra,TLS.AX,openfigi
AU000000TLX2,Telix Pharmaceuticals,TLX.AX,openfigi
AU000000TNE8,Technology One,TNE.AX,openfigi
AU000000TON7,Triton Minerals,TON.AX,openfigi
AU000000TPC7,TPC Consolidated,TPC.AX,openfigi
AU000000TPW5,Temple & Webster Group,TPW.AX,openfigi
AU000000TYX5,Tyranna Resources,TYX.AX,openfigi
AU000000VML1,Vital Metals,VML.AX,openfigi
AU000000VRC9,Volt Resources,VRC.AX,openfigi
AU000000WAF6,West African Resources,WAF.AX,openfigi
AU000000WBT5,Weebit Nano,WBT.AX,openfigi
AU000000WEC5,White Energy Company,WEC.AX,openfigi
AU000000WGN7,Wagners Holding,WGN.AX,openfigi
AU000000YAL0,Yancoal Australia,YAL.AX,openfigi
AU000000ZLD1,Zelira Therapeutics,ZLD.AX,openfigi
AU000000ZNC9,Zenith Minerals,ZNC.AX,openfigi
AU0000010464,Wide Open Agriculture,WOA.AX,openfigi
AU0000012098,Element 25,E25.AX,openfigi
AU0000016875,VIVA ENERGY,VEA.AX,openfigi
AU0000017071,WCM Global Growth,WQG.AX,openfigi
AU0000018236,Nickel Industries,NIC.AX,openfigi
AU0000021461,Galan Lithium,GLN.AX,openfigi
AU0000028367,HeraMED,HMD.AX,openfigi
