isin,name
XLE - Energia,XLE - Energia
S&P 500,S&P 500
Nasdaq 100,Nasdaq 100
Russell 2000,Russell 2000
MSCI World,MSCI World
Nikkei 225,Nikkei 225
DAX,DAX
Euro Stoxx 50,Euro Stoxx 50
Hang Seng,Hang Seng
FTSE 100,FTSE 100
Bovespa,Bovespa
XLK - Tecnologia,XLK - Tecnologia
XLI - Industriali,XLI - Industriali
XLV - Healthcare,XLV - Healthcare
XLF - Finanziari,XLF - Finanziari
